,Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
54,Financial Sector TA and Training Bangladesh,Advisory Services,,Completed,South Asia,Bangladesh,,,2009-05-26T04:00:00Z,,,,"The project builds capacity of the financial sector in Bangladesh by 
addressing risk management issues, and by introducing and popularizing new 
techniques to improve services financial institutions (FIs) provide to SME 
clients. Objectives include 1) increasing access to finance for SMEs; and 
2) raising awareness, increasing and disseminating knowledge, and sharing 
best practices on SME finance in the financial market.",,,,,,,,,,,,,,,,,,,,,539424,,,Access To Finance,,2005-12-09T05:00:00Z,2005-01-01T05:00:00Z
55,PEP Africa SME Entrepreneurship Development Initiative,Advisory Services,,Completed,Africa,Africa Region,,,2009-05-26T04:00:00Z,,,,"The project assists African entrepreneurs in developing bankable business 
plans and raising finance for new project investment, expansion and 
modernization, restructuring, corporate buy-outs, and so on. The objective 
is business growth (in revenues, competitiveness, productivity), adoption 
of new technology, better operational practices, increased profitability, 
and job creation, plus building the capacity of local business service 
providers working with SMEs.",,,,,,,,,,,,,,,,,,,,,539443,,,Corporate Advice,,2005-10-20T04:00:00Z,2005-07-01T04:00:00Z
56,Capacity-Building for Banks in India,Advisory Services,,Completed,South Asia,India,,,2009-05-26T04:00:00Z,,,,"The three-year project works with partner financial institutions in India 
to build capacity in corporate governance, risk management, SME and retail 
banking, and microfinance. The objective is to increase access to 
financing through the formal banking sector for businesses and consumers 
in India.",,,,,,,,,,,,,,,,,,,,,539650,,,Access To Finance,,2006-01-20T05:00:00Z,2006-03-01T05:00:00Z
57,Ukraine Agri-Insurance Development Project,Advisory Services,,Completed,Europe and Central Asia,Ukraine,,,2009-05-26T04:00:00Z,,,,"The project provides advisory services to nonbank financial institutions 
in Ukraine. The objective is to facilitate the development of 
agri-insurance in Ukraine.",,,,,,,,,,,,,,,,,,,,,540163,,,Access To Finance,,2005-12-06T05:00:00Z,2007-01-01T05:00:00Z
58,SSCMD AFD Export Program,Advisory Services,,Completed,Africa,Madagascar,,,2009-05-26T04:00:00Z,,,,"The project builds capacity of exporting SMEs in Madagascar, helping them 
meet international exporting standards, enhance their technical capacity, 
and better understand their export markets. The objective is to increase 
the export business of participating firms.",,,,,,,,,,,,,,,,,,,,,540323,,,Corporate Advice,,2006-01-11T05:00:00Z,2005-01-01T05:00:00Z
59,FMTAAS Global Housing Finance Project,Advisory Services,,Completed,World,World Region,,,2009-05-26T04:00:00Z,,,,"The project assists the housing finance market in developing countries by 
enhancing risk management capabilities, developing the infrastructure to 
support the primary mortgage market, fostering the enabling environment, 
strengthening institutional capacity, and furthering alternative funding 
vehicles. The objective is to facilitate the availability of affordable 
mortgage finance to lower-middle-income segments of the population.",,,,,,,,,,,,,,,,,,,,,540384,,,Access To Finance,,2006-09-13T04:00:00Z,2006-07-01T04:00:00Z
60,"Tajikistan Business Enabling Environment Phases III, IV",Advisory Services,,Completed,Europe and Central Asia,Tajikistan,,,2009-05-26T04:00:00Z,,,,"Continuing the work of previous phases, the project helps implement the 
Inspections Law and changes to the tax code in Tajikistan. The objectives 
include 1) reducing the regulatory burden on business (inspection and 
issuance of permits); 2) increasing SMEs' legal awareness; 3) supporting 
further business environment reforms by monitoring progress made since 
2003 and 2005 through a follow-on SME survey.",,,,,,,,,,,,,,,,,,,,,542544,,,Business Enabling Environment,,2006-01-12T05:00:00Z,2006-09-01T04:00:00Z
61,SME Banking Capacity Building in Sri Lanka,Advisory Services,,Completed,South Asia,Sri Lanka,,,2009-05-26T04:00:00Z,,,,"The project provides advisory services and training for banks and other 
financial institutions (FIs) in Sri Lanka. The objectives are: 1) to 
develop awareness of SME finance issues; 2) to deepen the knowledge of FIs 
interested in targeting the SME market; 3) to develop sustainable SME 
finance models with a demonstrable impact; and 4) to improve the capacity 
and efficiency of banks and other FIs to meet SME needs with loans and 
newly developed financial products and services.",,,,,,,,,,,,,,,,,,,,,542865,,,Access To Finance,,2006-06-29T04:00:00Z,2006-03-01T05:00:00Z
62,BE- Business Edge Vietnam,Advisory Services,,Completed,East Asia and the Pacific,Vietnam,,,2009-05-26T04:00:00Z,,,,"The project offers Business Edge training in Vietnam. The objectives are 
to increase the supply of quality management-training products and 
services, and to stimulate demand for quality management training of SMEs 
in Vietnam's private sector.",,,,,,,,,,,,,,,,,,,,,543465,,,Corporate Advice,,2006-01-27T05:00:00Z,2002-02-01T05:00:00Z
63,Mozambique Tourism Anchor Investment Program,Advisory Services,,Completed,Africa,Mozambique,,,2009-05-26T04:00:00Z,,,,"The project provides advisory services to the government of Mozambique, 
identifying anchor tourism resorts and planning, packaging, and marketing 
them to the international tourism investment community, while clearing the 
administrative and regulatory constraints to tourism investment. The 
objective is to stimulate growth and investment in Mozambique's tourism 
sector, including SME linkages and community enterprise projects built 
around the tourism resorts.",,,,,,,,,,,,,,,,,,,,,544007,,,Business Enabling Environment,,2006-06-13T04:00:00Z,2006-09-01T04:00:00Z
64,African Development Bank support to Kenyan women,Advisory Services,,Completed,Africa,Kenya,,,2009-05-26T04:00:00Z,,,,"The project assists women with enterprises in Kenya by facilitating access 
to finance and business development services, and strengthening the 
capacity of local business service providers, financiers, and women's 
business associations to deliver services to growth-oriented women-owned 
and -operated SMEs. The objective is to enhance the economic growth and 
contribution of Kenyan women.",,,,,,,,,,,,,,,,,,,,,544824,,,Corporate Advice,,2006-05-17T04:00:00Z,2005-10-01T04:00:00Z
65,Africa Trade Finance Advisory Services Program,Advisory Services,,Completed,Africa,Africa Region,,,2009-05-26T04:00:00Z,,,,"The three-year project provides advisory services to locally owned banks 
in Africa, upscaling their ability to deliver trade finance services to 
local SMEs and to new exporters. The objective is for these banks to 
increase significantly their involvement in international and 
intraregional ('South-South') import and export transactions.",,,,,,,,,,,,,,,,,,,,,544944,,,Access To Finance,,2006-04-19T04:00:00Z,2006-03-01T05:00:00Z
66,ESMID - SIDA,Advisory Services,,Completed,Africa,Africa Region,,,2009-05-26T04:00:00Z,,,,"The project enhances the capacity of financial institutions in African 
countries in areas related to securities markets, and facilitates 
securities market transactions. The objective is to foster the development 
of properly functioning securities markets in African countries.",,,,,,,,,,,,,,,,,,,,,545164,,,Access To Finance,,2006-06-16T04:00:00Z,2007-03-01T05:00:00Z
67,Renewable and Sustainable Energy Program,Advisory Services,,Completed,World,World Region,,,2009-05-26T04:00:00Z,,,,"The project provides support to prospective sponsors and host governments 
by, for example, 1) developing market surveys, regulatory reviews, and 
analysis; 2) reviewing technical aspects of prospective investment 
projects; 3) helping sponsors with studies to mitigate technical and 
regulatory risks; and 4) evaluating legal and technical aspects of host 
country regulatory frameworks. The objective is to improve regulatory 
frameworks for renewable and sustainable energy projects.",,,,,,,,,,,,,,,,,,,,,545184,,,Infrastructure,,2006-03-30T05:00:00Z,2006-05-01T04:00:00Z
68,Enhancing the Fabrication Capabilities in the Nigerian Oil and Gas industry / INTSOK Nigeria,Advisory Services,,Completed,Africa,Nigeria,,,2009-05-26T04:00:00Z,,,,"The project assists in upgrading the skills of a selected group of 
companies in Nigeria that have the potential to become qualified 
fabricators for the offshore and subsea market. The objectives are 1) to 
bring their performance into compliance with ISO 9001 Quality Management 
Systems requirements, and other relevant standards on safety and 
environment, to prepare them for certification; and 2) to enable these 
companies to handle complex fabrication projects for the oil and gas 
industry, among others, in compliance with the EN729 Quality requirements 
for welding.",,,,,,,,,,,,,,,,,,,,,546264,,,Corporate Advice,,2006-11-02T05:00:00Z,2006-10-01T04:00:00Z
69,Private Health in Sub-Saharan Africa,Advisory Services,,Completed,Africa,Africa Region,,,2009-05-26T04:00:00Z,,,,"The project 1) documents the importance of the private sector in 
financing, providing, and improving health services in Sub-Saharan Africa; 
2) identifies successful business models in the region's private health 
sector; 3) builds on IFC investment and advisory strategy in these fields 
in identifying a pipeline of pilot projects; and 4) encourages IFC to 
engage a wider range of potential partners to explore new initiatives. The 
objective is to improve the financing and provision of health services 
delivered by the private sector in Sub-Saharan Africa.",,,,,,,,,,,,,,,,,,,,,546444,,,Infrastructure,,2006-09-25T04:00:00Z,2006-09-08T04:00:00Z
70,Rwanda Entrepreneurship Development Program,Advisory Services,,Completed,Africa,Rwanda,,,2009-05-26T04:00:00Z,,,,"The project establishes a collaborative partnership with institutions that 
strengthen and enhance entrepreneurship and SME development in Rwanda. The 
objective is to create a forum for meaningful dialogue on improving the 
country's investment climate and the private sector's effectiveness in 
advocating for reform.",,,,,,,,,,,,,,,,,,,,,546965,,,Corporate Advice,,2006-06-13T04:00:00Z,2006-11-01T05:00:00Z
71,Nigeria Subnational Investment Climate program,Advisory Services,,Completed,Africa,Nigeria,,,2009-05-26T04:00:00Z,,,,"The five-year project provides a baseline for the subnational investment 
climate in Nigeria, and defines a robust reform program in agreement with 
state governments. The objective is to promote sustainable and measurable 
improvements in the investment climate at the state level, and to 
strengthen the analytical base and policy dialogue in support of a reform 
agenda in Nigeria.",,,,,,,,,,,,,,,,,,,,,547146,,,Business Enabling Environment,,2006-06-26T04:00:00Z,2006-06-01T04:00:00Z
72,Credit Risk Rating & Management,Advisory Services,,Completed,East Asia and the Pacific,East Asia and Pacific Region,,,2009-05-26T04:00:00Z,,,,"The project provides advisory services to IFC investee banks in China, 
Vietnam, Indonesia, Cambodia, Mongolia, and the Philippines to develop and 
implement a robust and actionable business loan rating methodology. The 
objective is to enable the banks to measure and optimize credit risk in 
ways that are broadly consistent with international best practices and 
Basel II definitions, and that can be implemented in the current local 
context.",,,,,,,,,,,,,,,,,,,,,547490,,,Access To Finance,,2006-05-22T04:00:00Z,2006-06-01T04:00:00Z
73,DRC SME DEVELOPMENT PROGRAM,Advisory Services,,Completed,Africa,"Congo, Democratic Republic of",,,2009-05-26T04:00:00Z,,,,"The project provides business advisory services to new and existing 
enterprises in the Democratic Republic of Congo, a frontier country just 
coming out of a major political and social crisis. The objectives are 1) 
to build the capacity of business development service providers and 
business membership organizations; 2) to build capacity of SMEs through 
skills development for SME owners and managers; and 3) to expand the 
country's SME sector through support at multiple levels and through 
linkages with large firms.",,,,,,,,,,,,,,,,,,,,,547765,,,Corporate Advice,,2006-09-13T04:00:00Z,2007-03-01T05:00:00Z
