Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
SME Solution Centre- Kenya Pilot,Advisory Services,"",Completed,Africa,Kenya,"","",2009-05-26T04:00:00Z,"","","","The project builds capacity of exporting SMEs in Kenya, helping them meet international exporting standards, enhance their technical capacity, and better understand their export markets. The objective is to increase the export business of participating firms.","","","","","","","","","","","","","","","","","","","","",539273,"","",Corporate Advice,"",2005-12-02T05:00:00Z,2005-07-01T04:00:00Z
Financial Sector TA and Training Bangladesh,Advisory Services,"",Completed,South Asia,Bangladesh,"","",2009-05-26T04:00:00Z,"","","","The project builds capacity of the financial sector in Bangladesh by 
addressing risk management issues, and by introducing and popularizing new 
techniques to improve services financial institutions (FIs) provide to SME 
clients. Objectives include 1) increasing access to finance for SMEs; and 
2) raising awareness, increasing and disseminating knowledge, and sharing 
best practices on SME finance in the financial market.","","","","","","","","","","","","","","","","","","","","",539424,"","",Access To Finance,"",2005-12-09T05:00:00Z,2005-01-01T05:00:00Z
PEP Africa SME Entrepreneurship Development Initiative,Advisory Services,"",Completed,Africa,Africa Region,"","",2009-05-26T04:00:00Z,"","","","The project assists African entrepreneurs in developing bankable business 
plans and raising finance for new project investment, expansion and 
modernization, restructuring, corporate buy-outs, and so on. The objective 
is business growth (in revenues, competitiveness, productivity), adoption 
of new technology, better operational practices, increased profitability, 
and job creation, plus building the capacity of local business service 
providers working with SMEs.","","","","","","","","","","","","","","","","","","","","",539443,"","",Corporate Advice,"",2005-10-20T04:00:00Z,2005-07-01T04:00:00Z
Capacity-Building for Banks in India,Advisory Services,"",Completed,South Asia,India,"","",2009-05-26T04:00:00Z,"","","","The three-year project works with partner financial institutions in India 
to build capacity in corporate governance, risk management, SME and retail 
banking, and microfinance. The objective is to increase access to 
financing through the formal banking sector for businesses and consumers 
in India.","","","","","","","","","","","","","","","","","","","","",539650,"","",Access To Finance,"",2006-01-20T05:00:00Z,2006-03-01T05:00:00Z
Ukraine Agri-Insurance Development Project,Advisory Services,"",Completed,Europe and Central Asia,Ukraine,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services to nonbank financial institutions 
in Ukraine. The objective is to facilitate the development of 
agri-insurance in Ukraine.","","","","","","","","","","","","","","","","","","","","",540163,"","",Access To Finance,"",2005-12-06T05:00:00Z,2007-01-01T05:00:00Z
SSCMD AFD Export Program,Advisory Services,"",Completed,Africa,Madagascar,"","",2009-05-26T04:00:00Z,"","","","The project builds capacity of exporting SMEs in Madagascar, helping them 
meet international exporting standards, enhance their technical capacity, 
and better understand their export markets. The objective is to increase 
the export business of participating firms.","","","","","","","","","","","","","","","","","","","","",540323,"","",Corporate Advice,"",2006-01-11T05:00:00Z,2005-01-01T05:00:00Z
FMTAAS Global Housing Finance Project,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project assists the housing finance market in developing countries by 
enhancing risk management capabilities, developing the infrastructure to 
support the primary mortgage market, fostering the enabling environment, 
strengthening institutional capacity, and furthering alternative funding 
vehicles. The objective is to facilitate the availability of affordable 
mortgage finance to lower-middle-income segments of the population.","","","","","","","","","","","","","","","","","","","","",540384,"","",Access To Finance,"",2006-09-13T04:00:00Z,2006-07-01T04:00:00Z
"Tajikistan Business Enabling Environment Phases III, IV",Advisory Services,"",Completed,Europe and Central Asia,Tajikistan,"","",2009-05-26T04:00:00Z,"","","","Continuing the work of previous phases, the project helps implement the 
Inspections Law and changes to the tax code in Tajikistan. The objectives 
include 1) reducing the regulatory burden on business (inspection and 
issuance of permits); 2) increasing SMEs' legal awareness; 3) supporting 
further business environment reforms by monitoring progress made since 
2003 and 2005 through a follow-on SME survey.","","","","","","","","","","","","","","","","","","","","",542544,"","",Business Enabling Environment,"",2006-01-12T05:00:00Z,2006-09-01T04:00:00Z
SME Banking Capacity Building in Sri Lanka,Advisory Services,"",Completed,South Asia,Sri Lanka,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services and training for banks and other 
financial institutions (FIs) in Sri Lanka. The objectives are: 1) to 
develop awareness of SME finance issues; 2) to deepen the knowledge of FIs 
interested in targeting the SME market; 3) to develop sustainable SME 
finance models with a demonstrable impact; and 4) to improve the capacity 
and efficiency of banks and other FIs to meet SME needs with loans and 
newly developed financial products and services.","","","","","","","","","","","","","","","","","","","","",542865,"","",Access To Finance,"",2006-06-29T04:00:00Z,2006-03-01T05:00:00Z
BE- Business Edge Vietnam,Advisory Services,"",Completed,East Asia and the Pacific,Vietnam,"","",2009-05-26T04:00:00Z,"","","","The project offers Business Edge training in Vietnam. The objectives are 
to increase the supply of quality management-training products and 
services, and to stimulate demand for quality management training of SMEs 
in Vietnam's private sector.","","","","","","","","","","","","","","","","","","","","",543465,"","",Corporate Advice,"",2006-01-27T05:00:00Z,2002-02-01T05:00:00Z
Mozambique Tourism Anchor Investment Program,Advisory Services,"",Completed,Africa,Mozambique,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services to the government of Mozambique, 
identifying anchor tourism resorts and planning, packaging, and marketing 
them to the international tourism investment community, while clearing the 
administrative and regulatory constraints to tourism investment. The 
objective is to stimulate growth and investment in Mozambique's tourism 
sector, including SME linkages and community enterprise projects built 
around the tourism resorts.","","","","","","","","","","","","","","","","","","","","",544007,"","",Business Enabling Environment,"",2006-06-13T04:00:00Z,2006-09-01T04:00:00Z
African Development Bank support to Kenyan women,Advisory Services,"",Completed,Africa,Kenya,"","",2009-05-26T04:00:00Z,"","","","The project assists women with enterprises in Kenya by facilitating access 
to finance and business development services, and strengthening the 
capacity of local business service providers, financiers, and women's 
business associations to deliver services to growth-oriented women-owned 
and -operated SMEs. The objective is to enhance the economic growth and 
contribution of Kenyan women.","","","","","","","","","","","","","","","","","","","","",544824,"","",Corporate Advice,"",2006-05-17T04:00:00Z,2005-10-01T04:00:00Z
Africa Trade Finance Advisory Services Program,Advisory Services,"",Completed,Africa,Africa Region,"","",2009-05-26T04:00:00Z,"","","","The three-year project provides advisory services to locally owned banks 
in Africa, upscaling their ability to deliver trade finance services to 
local SMEs and to new exporters. The objective is for these banks to 
increase significantly their involvement in international and 
intraregional ('South-South') import and export transactions.","","","","","","","","","","","","","","","","","","","","",544944,"","",Access To Finance,"",2006-04-19T04:00:00Z,2006-03-01T05:00:00Z
ESMID - SIDA,Advisory Services,"",Completed,Africa,Africa Region,"","",2009-05-26T04:00:00Z,"","","","The project enhances the capacity of financial institutions in African 
countries in areas related to securities markets, and facilitates 
securities market transactions. The objective is to foster the development 
of properly functioning securities markets in African countries.","","","","","","","","","","","","","","","","","","","","",545164,"","",Access To Finance,"",2006-06-16T04:00:00Z,2007-03-01T05:00:00Z
Renewable and Sustainable Energy Program,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project provides support to prospective sponsors and host governments 
by, for example, 1) developing market surveys, regulatory reviews, and 
analysis; 2) reviewing technical aspects of prospective investment 
projects; 3) helping sponsors with studies to mitigate technical and 
regulatory risks; and 4) evaluating legal and technical aspects of host 
country regulatory frameworks. The objective is to improve regulatory 
frameworks for renewable and sustainable energy projects.","","","","","","","","","","","","","","","","","","","","",545184,"","",Infrastructure,"",2006-03-30T05:00:00Z,2006-05-01T04:00:00Z
